"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Decision (EU) 2017/684 of the European Parliament and of the Council of 5 April 2017 on establishing an information exchange mechanism with regard to intergovernmental agreements and non-binding instruments between Member States and third countries in the field of energy, and repealing Decision No 994/2012/EU (Text with EEA relevance. )","","32017D0684","intergovernmental cooperation (EU), exchange of information, EU Member State, single market, international agreement, third country, energy supply, self-sufficiency in energy, energy cooperation","Energy","Energy, General principles and programmes, General","2017-04-05",
"Regulation (EU) 2016/1952 of the European Parliament and of the Council of 26 October 2016 on European statistics on natural gas and electricity prices and repealing Directive 2008/92/EC (Text with EEA relevance)","","32016R1952","single market, electrical energy, publishing of prices, natural gas, data collection, data transmission, EU statistics, household consumption, price of energy, energy consumption","Information and verification, Energy, Internal market - Principles","Energy, Energy, Energy, Statistics, Oil and gas, Electricity, Other measures relating to oil or gas","2016-10-26",
"Regulation (EU) No 347/2013 of the European Parliament and of the Council of 17 April 2013 on guidelines for trans-European energy infrastructure and repealing Decision No 1364/2006/EC and amending Regulations (EC) No 713/2009, (EC) No 714/2009 and (EC) No 715/2009  Text with EEA relevance","","32013R0347","energy cooperation, project of common interest, energy grid, trans-European network","Trans-European networks, Energy","Energy, Industrial policy and internal market, General principles and programmes, Trans-European networks","2013-04-17",
"Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC  Text with EEA relevance","","32012L0027","energy consumption, energy saving, energy use, energy efficiency","Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","2012-10-25",
"Regulation (EU) No 1227/2011 of the European Parliament and of the Council of 25 October 2011 on wholesale energy market integrity and transparency  Text with EEA relevance","","32011R1227","price of energy, restriction on competition, insider trading, disclosure of information, wholesale trade, tradeable emission permit, energy production, intergovernmental cooperation (EU), administrative transparency, single market, energy supply, market supervision","Energy, Protocol on Ireland/Northern Ireland, Competition, Agreements, decisions and concerted practices, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes","2011-10-25",
"Directive 2010/31/EU of the European Parliament and of the Council of 19 May 2010 on the energy performance of buildings (recast)","","32010L0031","thermal insulation, energy consumption, environmental standard, air conditioning, energy saving, heating, building","Environment, Energy","Energy, Environment, consumers and health protection, General principles and programmes, Environment, Rational utilisation and conservation of energy, Pollution and nuisances, Monitoring of atmospheric pollution","2010-05-19",
"Directive 2009/125/EC of the European Parliament and of the Council of 21 October 2009 establishing a framework for the setting of ecodesign requirements for energy-related products (recast) (Text with EEA relevance)","","32009L0125","energy saving, marketing, EC conformity marking, approximation of laws, energy consumption, environmental impact","Environment, Approximation of laws, Energy, Protocol on Ireland/Northern Ireland, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2009-10-21",
"Directive 2009/126/EC of the European Parliament and of the Council of 21 October 2009 on Stage II petrol vapour recovery during refuelling of motor vehicles at service stations","","32009L0126","technical regulations, petrol, supply, motor vehicle, energy distribution, reduction of gas emissions, atmospheric pollutant, national implementing measure","Internal market - Principles, Environment, Approximation of laws","Energy, Environment, consumers and health protection, Oil and gas, Environment, Other measures relating to oil or gas, Pollution and nuisances, Monitoring of atmospheric pollution","2009-10-21",
"Regulation (EC) No 715/2009 of the European Parliament and of the Council of 13 July 2009 on conditions for access to the natural gas transmission networks and repealing Regulation (EC) No 1775/2005 (Text with EEA relevance)","","32009R0715","market access, energy transport, gas pipeline, natural gas, energy grid, gas supply","Energy, Internal market - Principles","Energy, Oil and gas, Other measures relating to oil or gas","2009-07-13",
"Regulation (EC) No 663/2009 of the European Parliament and of the Council of 13 July 2009 establishing a programme to aid economic recovery by granting Community financial assistance to projects in the field of energy","","32009R0663","economic support, gas, electrical energy, economic recovery, energy resources, project of common interest","Economic policy, Energy","Economic and monetary policy and free movement of capital, Energy, Economic policy, General principles and programmes","2009-07-13",
"Regulation (EC) No 1099/2008 of the European Parliament and of the Council of 22 October 2008 on energy statistics (Text with EEA relevance)","","32008R1099","EU statistics, energy policy, Eurostat","Energy","Energy, Statistics","2008-10-22",
"Directive 2000/84/EC of the European Parliament and of the Council of 19 January 2001 on summer-time arrangements","","32000L0084","communications policy, common transport policy, industrial policy, approximation of laws, summertime, EU policy","Approximation of laws, Internal market - Principles","Energy, General principles and programmes, Rational utilisation and conservation of energy","2001-01-19",
"European Parliament and Council Directive 94/63/EC of 20 December 1994 on the control of volatile organic compound (VOC) emissions resulting from the storage of petrol and its distribution from terminals to service stations","","31994L0063","technical standard, land transport, safety standard, organic chemical, maritime transport, petrol, transport of dangerous goods, storage of hydrocarbons, air quality, prevention of pollution","Approximation of laws, Energy, Internal market - Principles, Environment","Energy, Environment, consumers and health protection, Oil and gas, Environment, Other measures relating to oil or gas, Pollution and nuisances, Monitoring of atmospheric pollution","1994-12-20",
"Directive 94/22/EC of the European Parliament and of the Council of 30 May 1994 on the conditions for granting and using authorizations for the prospection, exploration and production of hydrocarbons","","31994L0022","energy site, exploitation of resources, energy supply, management of resources, hydrocarbon, security of supply","Freedom of establishment, Energy, Approximation of laws, Internal market - Principles","Energy, Right of establishment and freedom to provide services, Oil and gas, Sectoral application, Other measures relating to oil or gas, Production and processing activities, Other production and processing activities","1994-05-30",
"Council Decision (EU) 2023/2858 of 12 December 2023 on the position to be taken on behalf of the European Union in the Ministerial Council of the Energy Community to be held in Vienna, Austria, on 14 December 2023","ST/15880/2023/INIT","32023D2858","seat of institution, energy policy, energy cooperation, renewal of an agreement, Energy Community, multilateral agreement, revision of an agreement","External relations, Energy","External relations, Energy, Multilateral relations, General principles and programmes, Other spheres of multilateral cooperation","2023-12-12",
"Council Decision (Euratom) 2023/2781 of 8 December 2023 approving the conclusion, by the European Commission, of the Agreement between the European Atomic Energy Community (Euratom) and the Korean Peninsula Energy Development Organisation (KEDO)","ST/15529/2023/INIT","32023D2781","nuclear reactor, agreement (EU), energy cooperation, decommissioning of power stations, ratification of an agreement, renewal of an agreement, EAEC, international organisation, powers of the institutions (EU), European Commission","External relations, Energy, Provisions governing the Institutions","External relations, Energy, General, financial and institutional matters, Multilateral relations, Nuclear energy, Provisions governing the institutions, Cooperation with international and non-governmental organisations, Other measures relating to nuclear energy, Commission","2023-12-08",
"Commission Implementing Regulation (EU) 2023/2633 of 20 November 2023 setting the filling trajectory with intermediary targets for 2024 for each Member State with underground gas storage facilities on its territory and directly interconnected to its market area","C/2023/7890","32023R2633","security of supply, EU Member State, energy market, natural gas, storage of hydrocarbons, gas supply, EU energy policy","Energy","Energy, Oil and gas, Supplies and stocks","2023-11-20",
"Commission Delegated Regulation (EU) 2023/2534 of 13 July 2023 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of household tumble dryers and repealing Commission Delegated Regulation (EU) No 392/2012","C/2023/4741","32023R2534","energy consumption, labelling, energy saving, household electrical appliance, EU energy label, consumer information","Technical barriers, Protocol on Ireland/Northern Ireland, Energy, Environment, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Environment, consumers and health protection, Industrial policy and internal market, Energy, Consumers, Internal market: approximation of laws, General principles and programmes, Consumer information, education and representation, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2023-07-13",
"Commission Regulation (EU) 2023/2533 of 17 November 2023 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for household tumble dryers, amending Commission Regulation (EU) 2023/826, and repealing Commission Regulation (EU) No 932/2012","C/2023/7671","32023R2533","application of EU law, energy efficiency, energy consumption, consumer information, ecodesign, household electrical appliance, market approval, energy saving","Environment, Energy, Protocol on Ireland/Northern Ireland, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2023-11-17",
"Commission Implementing Decision (EU) 2023/2199 of 17 October 2023 granting derogations to certain Member States as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2023)6856)","C/2023/6856","32023D2199","EU energy policy, energy statistics, statistical method, energy production, data processing, EU statistics, EU Member State, energy consumption","Energy","Energy, Statistics","2023-10-17",
"Commission Implementing Decision (EU) 2023/1978 of 21 September 2023 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts for the activities related to the generation and wholesale of electricity from renewable sources in Germany, with the exception of electricity from renewable sources generated in installations that went into operation before 1 August 2014 and still receive public funding and activities related to the generation and wholesale of electricity from offshore wind farms commissioned after 1 January 2012 and subject to the 2012 Renewable Energy Sources Act (Erneuerbare-Energien-Gesetz) in Germany (notified under document C(2023) 6271) (Only the German text is authentic) (Text with EEA relevance)","C/2023/6271","32023D1978","award of contract, renewable energy, Germany, energy production, electrical energy, wholesale trade, public procurement, offshore wind energy production","Energy, Public procurement in the European Union","Energy, Right of establishment and freedom to provide services, Electricity, Public contracts, General","2023-09-21",
"Commission Implementing Decision (EU) 2023/1760 of 11 September 2023 on the recognition of the report including information on the typical greenhouse gas emissions from the cultivation of canola oilseed (rapeseed) in Australia under Article 31(3) and (4) of Directive (EU) 2018/2001 of the European Parliament and of the Council","C/2023/6012","32023D1760","renewable resources, environmental standard, production standard, reduction of gas emissions, Australia, greenhouse gas, crop production, oil seed rape, environmental cooperation, exchange of information","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","2023-09-11",
"Commission Regulation (EU) 2023/1670 of 16 June 2023 laying down ecodesign requirements for smartphones, mobile phones other than smartphones, cordless phones and slate tablets pursuant to Directive 2009/125/EC of the European Parliament and of the Council and amending Commission Regulation (EU) 2023/826 (Text with EEA relevance)","C/2023/3538","32023R1670","energy consumption, mobile phone, eco-label, energy efficiency, smart technology, market approval, energy saving, ecodesign, micro-computer, marketing standard","Protocol on Ireland/Northern Ireland, Energy, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Environment, consumers and health protection, Energy, Internal market: approximation of laws, Consumers, General principles and programmes, Other sectors for approximation of laws, Consumer information, education and representation, Rational utilisation and conservation of energy","2023-06-16",
"Commission Delegated Regulation (EU) 2023/1669 of 16 June 2023 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to the energy labelling of smartphones and slate tablets (Text with EEA relevance)","C/2023/1672","32023R1669","labelling, energy consumption, eco-label, energy efficiency, mobile phone, smart technology, energy saving, consumer information, marketing standard, micro-computer","Technical barriers, Protocol on Ireland/Northern Ireland, Energy, Environment, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Environment, consumers and health protection, Energy, Internal market: approximation of laws, Consumers, General principles and programmes, Other sectors for approximation of laws, Consumer information, education and representation, Rational utilisation and conservation of energy","2023-06-16",
"Commission Delegated Regulation (EU) 2023/1640 of 5 June 2023 on the methodology to determine the share of biofuel and biogas for transport, produced from biomass being processed with fossil fuels in a common process","C/2023/3513","32023R1640","bioenergy, petrochemicals, reduction of gas emissions, biogas, fossil fuel, technical specification, biofuel, biomass","Environment, Energy, Transport","Environment, consumers and health protection, Energy, Transport policy, Environment, Other sources of energy, General, Space, environment and natural resources","2023-06-05",
"Commission Delegated Regulation (EU) 2023/1184 of 10 February 2023 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council by establishing a Union methodology setting out detailed rules for the production of renewable liquid and gaseous transport fuels of non-biological origin","C/2023/1087","32023R1184","motor fuel, hydrogen production, hydrogen, substitute fuel, electrical energy, renewable resources, electrical process, renewable energy, energy efficiency, energy production","Environment, Energy, Transport","Environment, consumers and health protection, Energy, Transport policy, Environment, Other sources of energy, General, Space, environment and natural resources","2023-02-10",
"Commission Implementing Regulation (EU) 2023/1162 of 6 June 2023 on interoperability requirements and non-discriminatory and transparent procedures for access to metering and consumption data (Text with EEA relevance)","C/2023/3477","32023R1162","smart technology, measuring equipment, administrative transparency, electrical energy, consumer information, data processing, access to information, energy consumption, systems interconnection, technical specification","Consumer protection, Energy","Environment, consumers and health protection, Energy, Consumers, Electricity, Consumer information, education and representation","2023-06-06",
"Commission Decision (Euratom) 2023/1112 of 17 July 2020 on the notification of changes to the Euratom delineated peaceful nuclear programme in Annex A to the Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the United States of America","C/2020/4674","32023D1112","revision of an agreement, nuclear energy, EAEC, peaceful use of energy, scientific cooperation, cooperation agreement (EU), United States, nuclear research","External relations, Cooperation","Energy, External relations, Energy, Nuclear energy, Bilateral agreements with non-member countries, Nuclear energy, Other measures relating to nuclear energy, North America, Nuclear research","2020-07-17",
"Commission Regulation (EU) 2023/826 of 17 April 2023 laying down ecodesign requirements for off mode, standby mode, and networked standby energy consumption of electrical and electronic household and office equipment pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulations (EC) No 1275/2008 and (EC) No 107/2009 (Text with EEA relevance)","C/2023/2448","32023R0826","household electrical appliance, electronic equipment, ecodesign, electrical equipment, office equipment, energy saving, market approval, electronic device, eco-label, energy efficiency, energy consumption","Energy, Internal market - Principles","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2023-04-17",
"Commission Implementing Regulation (EU) 2023/736 of 31 March 2023 on the definition of the technical details of the application of the market correction mechanism to derivatives linked to virtual trading points in the Union other than the TTF","C/2023/2194","32023R0736","natural gas, price formation, energy demand, economy, technical specification, electronic commerce, commodities exchange, price of energy, consumer protection, EU energy policy","Energy, Prices","Energy, Oil and gas, Supplies and stocks","2023-03-31",
"Commission Decision of 13 January 2023 establishing the ad hoc Steering Board to facilitate the coordination of demand aggregation and joint purchasing of gas 2023/C 48/05","C/2023/407","32023D0208(02)","security of supply, energy market, purchase, natural gas, operation of the Institutions, gas supply, energy cooperation, EU energy policy, energy crisis","Provisions governing the Institutions, Energy","Energy, Energy, Oil and gas, Oil and gas, Supplies and stocks, Other measures relating to oil or gas","2023-01-13",
"Council Decision (Euratom) 2023/225 of 30 January 2023 on the extension of the joint-undertaking status of Hochtemperatur-Kernkraftwerk GmbH","ST/5101/2023/INIT","32023D0225","nuclear power station, nuclear safety, Germany, North Rhine-Westphalia, decommissioning of power stations, EAEC Joint Undertaking","Joint undertakings, Nuclear common market","Energy, Nuclear energy, Power stations and joint undertakings","2023-01-30",
"Council Decision (Euratom) 2023/226 of 30 January 2023 on the extension of the advantages conferred on the joint undertaking Hochtemperatur-Kernkraftwerk GmbH","ST/5102/2023/INIT","32023D0226","nuclear power station, nuclear safety, North Rhine-Westphalia, decommissioning of power stations, Germany, EAEC Joint Undertaking","Joint undertakings, Nuclear common market","Energy, Nuclear energy, Power stations and joint undertakings","2023-01-30",
"Council Regulation (EU) 2022/2578 of 22 December 2022 establishing a market correction mechanism to protect Union citizens and the economy against excessively high prices","ST/15202/2022/INIT","32022R2578","price formation, natural gas, economy, energy demand, price increase, security of supply, commodities exchange, consumer protection, EU energy policy, price of energy","Energy, Prices","Energy, Oil and gas, Supplies and stocks","2022-12-22",
"Council Regulation (EU) 2022/2576 of 19 December 2022 enhancing solidarity through better coordination of gas purchases, reliable price benchmarks and exchanges of gas across borders","ST/14065/2022/INIT","32022R2576","security of supply, natural gas, EU energy policy, gas supply, purchase, energy market, cross-border cooperation, energy cooperation, energy crisis","Energy","Energy, Energy, Oil and gas, Oil and gas, Other measures relating to oil or gas, Supplies and stocks","2022-12-19",
"Council Regulation (EU) 2022/2577 of 22 December 2022 laying down a framework to accelerate the deployment of renewable energy","ST/14787/2022/INIT","32022R2577","security of supply, energy production, heat pump, renewable resources, energy efficiency, renewable energy, price of energy, carbon neutrality, energy crisis","Energy, Environment","Environment, consumers and health protection, Energy, Environment, Other sources of energy, Space, environment and natural resources","2022-12-22",
"Commission Implementing Decision (EU) 2022/2461 of 14 December 2022 recognising the ‘KZR INiG’ scheme for demonstrating compliance with the requirements set out in Directive (EU) 2018/2001 of the European Parliament and of the Council as regards biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels and repealing Commission Implementing Decision (EU) 2022/603 (Text with EEA relevance)","C/2022/9178","32022D2461","reduction of gas emissions, production standard, environmental standard, recycled product, renewable resources, road transport, greenhouse gas, sustainable product, exchange of information, biofuel","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","2022-12-14",
"Commission Implementing Regulation (EU) 2022/2301 of 23 November 2022 setting the filling trajectory with intermediary targets for 2023 for each Member State with underground gas storage facilities on its territory and directly interconnected to its market area (Text with EEA relevance)","C/2022/8593","32022R2301","storage of hydrocarbons, natural gas, energy market, security of supply, EU Member State, EU energy policy, gas supply","Energy","Energy, Oil and gas, Supplies and stocks","2022-11-23",
"Commission Implementing Regulation (EU) 2022/2299 of 15 November 2022 laying down rules for the application of Regulation (EU) 2018/1999 of the European Parliament and of the Council as regards the structure, format, technical details and process for the integrated national energy and climate progress reports","C/2022/8251","32022R2299","application of EU law, greenhouse gas, adaptation to climate change, reduction of gas emissions, EU energy policy, activity report, energy efficiency, technical specification, renewable energy, energy research","Environment, Energy","Energy, General principles and programmes","2022-11-15",
"Commission Delegated Regulation (EU) 2022/2202 of 29 August 2022 supplementing Regulation (EU) 2021/1153 of the European Parliament and of the Council by establishing a list of selected cross-border projects in the field of renewable energy (Text with EEA relevance)","C/2022/6028","32022R2202","heating, renewable energy, energy efficiency, EU financial instrument, clean technology, wind energy, marine energy, hydrogen production, electrical energy, cross-border cooperation","Energy","Energy, Energy, General principles and programmes, Other sources of energy, Rational utilisation and conservation of energy","2022-08-29",
"Council Regulation (EU) 2022/1854 of 6 October 2022 on an emergency intervention to address high energy prices","ST/12521/2022/INIT","32022R1854","energy efficiency, energy consumption, crisis management, price of energy, energy crisis, natural gas, consumer protection, security of supply, electrical energy, energy saving, EU energy policy","Energy, Prices","Energy, General principles and programmes","2022-10-06",
"Council Decision (EU) 2022/1842 of 20 September 2022 on the position to be taken on behalf of the European Union within the Ministerial Council of the Energy Community with regard to the incorporation of Regulation (EU) 2022/1032 of the European Parliament and of the Council on gas storage into the Energy Community acquis","ST/12060/2022/INIT","32022D1842","natural gas, storage of hydrocarbons, strategic reserves, Energy Community, security of supply, international organisation, self-sufficiency in energy, gas supply, energy cooperation, EU energy policy","Energy, External relations","Energy, External relations, Oil and gas, Multilateral relations, Supplies and stocks, Other spheres of multilateral cooperation","2022-09-20",
"Commission Implementing Decision (EU) 2022/1655 of 26 September 2022 recognising the report including information on the typical greenhouse gas emissions from the cultivation of soybean in Argentina under Article 31(3) and (4) of Directive (EU) 2018/2001 of the European Parliament and of the Council","C/2022/6762","32022D1655","soya bean, greenhouse gas, environmental standard, production standard, reduction of gas emissions, renewable resources, exchange of information, environmental cooperation, crop production, Argentina","Environment, Energy","Environment, consumers and health protection, Energy, Environment, Other sources of energy, Pollution and nuisances, Monitoring of atmospheric pollution","2022-09-26",
"Commission Implementing Decision (EU) 2022/1657 of 26 September 2022 on the recognition of the Sustainable Biomass Program voluntary scheme for demonstrating compliance with the requirements of Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/6713","32022D1657","renewable resources, recycled product, environmental standard, production standard, reduction of gas emissions, greenhouse gas, road transport, sustainable product, exchange of information, biofuel","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","2022-09-26",
"Commission Implementing Decision (EU) 2022/1656 of 26 September 2022 on recognition of the Austrian agricultural certification scheme (AACS) for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/6712","32022D1656","renewable resources, environmental standard, reduction of gas emissions, production standard, recycled product, road transport, greenhouse gas, sustainable product, biofuel, Austria","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","2022-09-26",
"Council Regulation (EU) 2022/1369 of 5 August 2022 on coordinated demand-reduction measures for gas","ST/11568/2022/INIT","32022R1369","security of supply, natural gas, energy demand, gas supply, energy saving, EU energy policy, energy consumption, EU Member State, self-sufficiency in energy, energy crisis","Energy","Energy, Oil and gas, Supplies and stocks","2022-08-05",
"Commission Implementing Decision (EU) 2022/1376 of 26 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to electricity generation and wholesale in Denmark (notified under document C(2022) 5046) (Only the Danish text is authentic) (Text with EEA relevance)","C/2022/5046","32022D1376","electrical energy, wholesale trade, electricity supply, Denmark, market access, derogation from EU law, energy production, renewable energy, award of contract","Public procurement in the European Union, Energy","Right of establishment and freedom to provide services, Energy, Public contracts, Electricity, General","2022-07-26",
"Commission Implementing Decision (EU) 2022/1296 of 1 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts to pursue the extraction of crude oil and natural gas in Romania (notified under document C(2022) 4485) (Only the Romanian text is the authentic) (Text with EEA relevance)","C/2022/4485","32022D1296","extraction of oil, Romania, award of contract, crude oil, natural gas","Public procurement in the European Union, Energy","Right of establishment and freedom to provide services, Energy, Public contracts, Oil and gas, General","2022-07-01",
"Commission Implementing Decision (EU) 2022/1286 of 15 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts to pursue the retail supply of electricity and gas to small customers in the Netherlands (notified under document C(2022) 4872) (Only the Dutch text is authentic) (Text with EEA relevance)","C/2022/4872","32022D1286","natural gas, retail trade, award of contract, Netherlands, electricity supply, gas supply, domestic market, electrical energy","Energy, Public procurement in the European Union","Energy, Energy, Right of establishment and freedom to provide services, Electricity, Oil and gas, Public contracts, Supplies and stocks, General","2022-07-15",
"Commission Implementing Regulation (EU) 2022/996 of 14 June 2022 on rules to verify sustainability and greenhouse gas emissions saving criteria and low indirect land-use change-risk criteria (Text with EEA relevance)","C/2022/3740","32022R0996","energy saving, audit, reduction of gas emissions, bioenergy, greenhouse gas, land use, biomass, renewable energy, biofuel, energy crop","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Space, environment and natural resources","2022-06-14",
